time,emg
1742842580.0338917,933
1742842580.0349443,933
1742842580.0359976,932
1742842580.03705,932
1742842580.0381048,931
1742842580.039158,932
1742842580.0402114,932
1742842580.0412643,933
1742842580.042318,934
1742842580.0433714,933
1742842580.044425,932
1742842580.0454783,931
1742842580.0465317,931
1742842580.0475848,933
1742842580.0486388,933
1742842580.049692,932
1742842580.050745,932
1742842580.0517983,932
1742842580.052852,931
1742842580.0539052,931
1742842580.0549583,931
1742842580.0560114,931
1742842580.0570655,933
1742842580.0581183,931
1742842580.059181,932
1742842580.0602298,932
1742842580.0612826,932
1742842580.0623357,932
1742842580.063388,932
1742842580.064442,932
1742842580.0654664,931
1742842580.0665185,931
1742842580.0675714,931
1742842580.0686305,930
1742842580.0696783,927
1742842580.0707307,906
1742842580.0717838,888
1742842580.0728369,872
1742842580.0738895,854
1742842580.074942,837
1742842580.0759952,821
1742842580.0770485,803
1742842580.0781178,789
1742842580.0791705,773
1742842580.080223,757
1742842580.0812879,741
1742842580.0823371,725
1742842580.0833998,710
1742842580.084448,695
1742842580.08547,683
1742842580.086531,667
1742842580.0875804,653
1742842580.088633,639
1742842580.0896866,626
1742842580.0907388,612
1742842580.0917914,600
1742842580.0928442,587
1742842580.0938978,573
1742842580.0949504,561
1742842580.096003,550
1742842580.097056,538
1742842580.0981095,526
1742842580.0991616,515
1742842580.1002147,504
1742842580.1012673,494
1742842580.102321,484
1742842580.1033733,474
1742842580.104426,463
1742842580.1054666,454
1742842580.1065197,444
1742842580.1075728,434
1742842580.108626,425
1742842580.109676,418
1742842580.110733,409
1742842580.1117861,399
1742842580.1128397,391
1742842580.113893,383
1742842580.1149457,375
1742842580.1159983,367
1742842580.1170511,360
1742842580.1181056,352
1742842580.1191583,345
1742842580.1202114,339
1742842580.1212647,331
1742842580.1223185,324
1742842580.1233714,317
1742842580.1244247,311
1742842580.1254785,304
1742842580.1265323,298
1742842580.127585,292
1742842580.1286383,286
1742842580.1296918,280
1742842580.1307456,275
1742842580.1317983,269
1742842580.1328514,264
1742842580.1339052,258
1742842580.1349587,254
1742842580.1360135,258
1742842580.1370668,261
1742842580.1381202,257
1742842580.139174,254
1742842580.1402264,251
